nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.61911e-05,0,7.18695e-06,6.62034,12.0901,0.274404,-0.160044,7.54395e-05,-4.7534e-06,-0.000512778,0.000390459,1,-10.5,2.20714,-0.200524,134,2
2.62157e-05,0,7.19655e-06,6.62815,11.0796,0.274513,-0.160074,6.62338e-05,-2.45813e-05,0.000593184,-0.000652795,1,-9.76271,1.81743,-0.200424,135,2
2.62125e-05,0,7.19591e-06,6.62625,11.1987,0.274522,-0.160106,0.000119213,-3.28529e-06,0.000698658,-8.92456e-06,1,-9.75,2.00893,-0.200434,136,2
2.6212e-05,0,7.19568e-06,6.6307,11.0297,0.274519,-0.160101,0.000114307,-2.18965e-05,0.00059034,4.85163e-05,1,-9.76255,2.00893,-0.200418,137,2
2.6204e-05,0,7.19298e-06,6.63278,11.198,0.274499,-0.160119,0.000146104,-1.66827e-05,0.00024783,0.00137762,0.999999,-9.76305,2.20024,-0.200435,138,2
2.62043e-05,0,7.19313e-06,6.62824,11.3821,0.274502,-0.160125,0.000152364,3.01499e-06,0.000390887,-0.000191594,1,-9.75,2.20714,-0.200452,139,2
2.61913e-05,0,7.18701e-06,6.62585,11.8526,0.274404,-0.16004,7.18107e-05,-2.74201e-05,-0.000639266,0.000593724,1,-10.4849,2.19918,-0.200502,140,2
2.61957e-05,0,7.18814e-06,6.62896,11.5671,0.274401,-0.160068,6.0984e-05,-2.17908e-05,-0.000352883,-0.000989168,0.999999,-10.4858,1.81821,-0.200473,141,2
2.6227e-05,0,7.20176e-06,6.61526,11.6277,0.274593,-0.160039,5.16262e-05,-2.25134e-05,0.000251426,-0.000144327,1,-9.375,2.00893,-0.200478,142,2
2.62363e-05,0,7.20467e-06,6.60773,11.9225,0.274606,-0.159974,-8.27291e-06,-2.83583e-05,0.000326057,-0.000132462,1,-9.375,1.81071,-0.200509,143,2
2.62832e-05,0,7.22463e-06,6.5749,14.817,0.274876,-0.159794,-0.000341106,-6.35483e-05,0.000366237,-0.000555683,1,-8.625,2.00893,-0.200803,144,2
2.62501e-05,0,7.21094e-06,6.5935,13.1117,0.274701,-0.159903,-0.000122546,-5.04519e-05,0.00040055,-0.000380521,1,-9,2.00893,-0.20063,145,2
2.6308e-05,0,7.234e-06,6.56672,15.4938,0.274973,-0.159723,-0.000287465,-8.20756e-05,0.000395258,-0.000214367,1,-8.625,1.81071,-0.200872,146,2
