Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
-0.00104147,-0.00228478,0.999997,-4.3125,1.81071,-0.201343,338,2
-0.000693373,-0.00131947,0.999999,-4.5,1.81071,-0.201519,339,2
0.00195902,0.00320848,0.999993,-3.5625,1.90982,-0.201056,340,2
0.00100812,0.00153982,0.999998,-3.75,1.90982,-0.200779,341,2
0.000888462,0.00245173,0.999997,-3.5625,1.81071,-0.200894,342,2
-4.0187e-05,8.3621e-05,1,-3.75,1.81071,-0.20078,343,2
0.000860292,0.00213547,0.999997,-2.8125,1.90982,-0.202765,344,2
0.00155806,0.00304873,0.999994,-3,1.90982,-0.202485,345,2
0.000949759,0.00999403,0.99995,-2.8125,1.81071,-0.201956,346,2
0.00128602,0.00940911,0.999955,-3,1.81071,-0.201772,347,2
-0.000972866,0.000199439,1,-2.0625,1.90982,-0.202441,348,2
-0.000984682,0.000312069,0.999999,-2.25,1.90982,-0.202716,349,2
-0.000448709,0.00479625,0.999988,-2.0625,1.81071,-0.201848,350,2
-0.000433501,0.0065642,0.999978,-2.25,1.81071,-0.201969,351,2
0.000114653,-0.00098236,1,-1.3125,1.90982,-0.202319,352,2
0.000414888,-0.00037062,1,-1.5,1.90982,-0.202274,353,2
0.000750513,0.00244442,0.999997,-1.3125,1.81071,-0.202142,354,2
0.000688524,0.00282241,0.999996,-1.5,1.81071,-0.201961,355,2
-0.000906461,-0.00471068,0.999988,-0.5625,1.90982,-0.201369,356,2
-0.00134975,-0.00390132,0.999991,-0.75,1.90982,-0.201608,357,2
-0.000483836,-0.00417211,0.999991,-0.5625,1.81071,-0.202249,358,2
-0.000423425,-0.00285803,0.999996,-0.75,1.81071,-0.202292,359,2
0.000303877,-0.00161095,0.999999,-7.125,2.40536,-0.201974,360,2
0.000288758,-0.00136291,0.999999,-7.5,2.40536,-0.20174,361,2
-0.000146679,0.00198513,0.999998,-7.125,2.20714,-0.20205,362,2
0.00024732,0.00102736,0.999999,-7.5,2.20714,-0.202004,363,2
5.40677e-05,-0.000621792,1,-6.375,2.40536,-0.202344,364,2
0.000316599,-0.00113283,0.999999,-6.75,2.40536,-0.202214,365,2
-0.000202595,0.00373059,0.999993,-6.375,2.20714,-0.201718,366,2
-0.00025347,0.00306339,0.999995,-6.75,2.20714,-0.201879,367,2
-0.000210086,0.000768982,1,-5.625,2.40536,-0.202077,368,2
-0.00025522,-0.000162317,1,-6,2.40536,-0.202266,369,2
-0.000306347,0.00272437,0.999996,-5.625,2.20714,-0.201409,370,2
