nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38028e-05,1,0,3.46563e-06,-0.0507499,28378.3,0.251081,-0.0799927,0,1.43053e-06,-7.875,0,-3.025,130,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506691,28378.3,0.251081,-0.0799932,0,1.04209e-06,-8.25,0,-3.025,131,0,2
1.38026e-05,1,0,3.4656e-06,-0.0509491,27290.1,0.251082,-0.0800002,2.22937e-10,-1.70413e-06,-15,0.225,-2.91667,132,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508925,27290.1,0.251081,-0.079999,0,-1.62968e-06,-14.25,0,-2.91667,133,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507798,27290.1,0.251081,-0.0799982,0,-1.46902e-06,-13.5,0,-2.91667,134,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506718,27290.1,0.251081,-0.0799973,0,-1.26972e-06,-12.75,0,-2.91667,135,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505649,27290.1,0.251082,-0.0799967,0,-9.99171e-07,-12,0,-2.91667,136,0,2
1.38028e-05,1,0,3.46562e-06,-0.0504692,27290.1,0.251082,-0.0799962,0,-7.01564e-07,-11.25,0,-2.91667,137,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504008,27290.1,0.251082,-0.0799959,0,-4.56002e-07,-10.5,0,-2.91667,138,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503588,27290.1,0.251081,-0.0799958,0,-2.79299e-07,-9.75,0,-2.91667,139,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503473,27290.1,0.251081,-0.0799958,0,-2.22579e-07,-9.375,0,-2.91667,140,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503465,27290.1,0.251081,-0.0799965,0,-1.91737e-07,-8.625,0,-2.91667,141,0,2
1.38028e-05,1,0,3.46563e-06,-0.050343,27290.1,0.251081,-0.0799961,0,-1.95393e-07,-9,0,-2.91667,142,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503772,27290.1,0.251081,-0.0799983,0,-1.93178e-07,-7.875,0,-2.91667,143,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503579,27290.1,0.251081,-0.0799972,0,-2.00381e-07,-8.25,0,-2.91667,144,0,2
1.38026e-05,1,0,3.4656e-06,-0.0509374,26201.8,0.251082,-0.0800001,-1.00613e-09,-1.37369e-06,-15,0.225,-2.80833,145,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508815,26201.8,0.251081,-0.0799989,0,-1.34211e-06,-14.25,0,-2.80833,146,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507709,26201.8,0.251081,-0.0799981,0,-1.26276e-06,-13.5,0,-2.80833,147,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506666,26201.8,0.251081,-0.0799972,0,-1.14841e-06,-12.75,0,-2.80833,148,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505897,26201.8,0.251082,-0.0799963,0,-1.01274e-06,-12,0,-2.80833,149,0,2
1.38028e-05,1,0,3.46562e-06,-0.050541,26201.8,0.251082,-0.0799956,0,-8.26223e-07,-11.25,0,-2.80833,150,0,2
1.38028e-05,1,0,3.46563e-06,-0.05051,26201.8,0.251082,-0.0799949,0,-5.43761e-07,-10.5,0,-2.80833,151,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505078,26201.8,0.251081,-0.0799944,0,-1.53473e-07,-9.75,0,-2.80833,152,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505211,26201.8,0.251081,-0.0799942,0,9.57574e-08,-9.375,0,-2.80833,153,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505858,26201.8,0.251081,-0.0799936,0,8.21157e-07,-8.625,0,-2.80833,154,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505462,26201.8,0.251081,-0.0799939,0,4.14252e-07,-9,0,-2.80833,155,0,2
1.38028e-05,1,0,3.46563e-06,-0.0507222,26201.8,0.251081,-0.0799927,0,1.81417e-06,-7.875,0,-2.80833,156,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506434,26201.8,0.251081,-0.0799932,0,1.29721e-06,-8.25,0,-2.80833,157,0,2
1.38026e-05,1,0,3.4656e-06,-0.050949,25131.7,0.251082,-0.0800001,-5.07412e-10,-2.34472e-06,-15,0.225,-2.7,158,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508901,25134.1,0.251081,-0.079999,0,-2.30555e-06,-14.25,0,-2.7,159,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507743,25134.1,0.251081,-0.0799982,0,-2.13611e-06,-13.5,0,-2.7,160,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506647,25134.1,0.251081,-0.0799973,0,-1.92486e-06,-12.75,0,-2.7,161,0,2
